0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.8,0.85,0.9
-103,0.2154,1.6047,0.217,1.605,0.224,1.652,0.223,1.671,0.224,1.7,0.23,1.747,0.231,1.795,0.226,1.842,0.265,1.861,0.277,1.888
-102,0.1904,1.617,0.191,1.617,0.198,1.665,0.198,1.684,0.198,1.713,0.203,1.761,0.205,1.808,0.2,1.856,0.235,1.875,0.244,1.903
-101,0.1652,1.6284,0.166,1.628,0.172,1.677,0.171,1.696,0.172,1.725,0.176,1.773,0.178,1.821,0.173,1.869,0.204,1.889,0.211,1.916
-100,0.1399,1.6388,0.141,1.639,0.146,1.687,0.145,1.707,0.145,1.736,0.149,1.784,0.15,1.833,0.147,1.881,0.173,1.901,0.178,1.928
-99,0.1144,1.6483,0.115,1.648,0.119,1.697,0.119,1.717,0.119,1.746,0.122,1.795,0.123,1.843,0.12,1.892,0.142,1.912,0.144,1.939
-98,0.0889,1.6568,0.089,1.657,0.093,1.706,0.092,1.726,0.093,1.755,0.095,1.804,0.096,1.853,0.094,1.902,0.11,1.922,0.111,1.949
-97,0.0633,1.6644,0.064,1.664,0.066,1.714,0.066,1.733,0.066,1.763,0.068,1.812,0.068,1.861,0.067,1.911,0.079,1.93,0.077,1.958
-96,0.0377,1.6709,0.038,1.671,0.039,1.72,0.039,1.74,0.04,1.77,0.041,1.819,0.041,1.869,0.04,1.918,0.048,1.938,0.044,1.966
-95,0.0121,1.6765,0.012,1.677,0.013,1.726,0.013,1.746,0.013,1.776,0.013,1.825,0.014,1.875,0.014,1.925,0.016,1.944,0.01,1.972
-94,-0.0134,1.681,-0.014,1.681,-0.014,1.731,-0.014,1.751,-0.013,1.781,-0.014,1.83,-0.014,1.88,-0.013,1.93,-0.015,1.95,-0.023,1.978
-93,-0.0389,1.6846,-0.039,1.685,-0.04,1.734,-0.04,1.754,-0.04,1.784,-0.041,1.834,-0.041,1.884,-0.039,1.934,-0.047,1.954,-0.057,1.982
-92,-0.0643,1.6871,-0.065,1.687,-0.067,1.737,-0.066,1.757,-0.066,1.787,-0.068,1.837,-0.068,1.887,-0.066,1.937,-0.078,1.957,-0.09,1.985
-91,-0.0896,1.6886,-0.09,1.689,-0.093,1.739,-0.092,1.759,-0.092,1.789,-0.095,1.839,-0.095,1.889,-0.092,1.939,-0.109,1.959,-0.124,1.986
-90,-0.1147,1.6891,-0.116,1.689,-0.119,1.739,-0.119,1.759,-0.118,1.789,-0.122,1.839,-0.122,1.889,-0.118,1.939,-0.14,1.959,-0.157,1.987
-89,-0.1397,1.6886,-0.141,1.689,-0.145,1.739,-0.144,1.759,-0.144,1.789,-0.148,1.839,-0.149,1.889,-0.144,1.939,-0.171,1.959,-0.19,1.986
-88,-0.1645,1.6871,-0.166,1.687,-0.171,1.737,-0.17,1.757,-0.17,1.787,-0.175,1.837,-0.175,1.887,-0.17,1.937,-0.201,1.957,-0.222,1.984
-87,-0.189,1.6845,-0.19,1.685,-0.197,1.734,-0.195,1.754,-0.195,1.784,-0.201,1.834,-0.202,1.884,-0.195,1.934,-0.231,1.954,-0.254,1.981
-86,-0.2133,1.681,-0.215,1.681,-0.222,1.731,-0.221,1.751,-0.22,1.781,-0.227,1.83,-0.228,1.88,-0.221,1.93,-0.261,1.95,-0.286,1.977
